# ShortMsgKAT_512.txt
# Algorithm Name: SHAvite-3
# Principal Submitter: Eli Biham and Orr Dunkelman

Len = 0
Msg = 00
MD = BDAEEFDCF51BD9EB736E491234C6B1C650839AC77641DAF79E6178BB283B3E72B052BF834E0F0F655C00E13D8EEEDCEAF828E488A8E50E28AB224E2047950F44

Len = 1
Msg = 00
MD = BF64BFCE2360B04F8E992D6C26DB09D457AC907FDEE56B0F533728A6F78C230F0E2247B0254610D7115D6EFCDB99D60BADC1F7DD8C4A99F519CC84C29ECB14C4

Len = 2
Msg = C0
MD = 3929FA182C04C8576A8BC3F9D9BAC619982B0258D48402BA47CF63C7464E189B657F04F77AC07083E141B196A5ABF08099D00E6BADECAC12C19D97E10E177E85

Len = 3
Msg = C0
MD = 18F3341B84A3D827E6B9808A0E7C8F6730E30DC841AD76772A9844C031BB28848CE8C06A77EA79D7A24FAD292860C2E3DCB6C22C26ED9601D87A3428689DA0E7

Len = 4
Msg = 80
MD = 234A7F0B29D33796C3B82ABC60084E0B8E94DEEDC28C08C45EBF519A9A9FE36573224252943B8A967E711137E7E043F7E9E287BFEC1922B5184ACC76D7888563

Len = 5
Msg = 48
MD = 1D82CA506368B585C687F7E775EE2DADBB2DE2160C68AA426F6364F6A1189F5C8D86DCB9BFE8F31B68DD4A79525ABA5A2A6ED40FFE0C9B35970223A11BB4D22F

Len = 6
Msg = 50
MD = B9484503E847A8D3DA282A1B9A391134D3225E94EF5ABED2B70157DA4B2824F87DDBC2B5EFA9C2F27672E77455E9662BE9931B0FFB93A7B13BE5EABBF31083A2

Len = 7
Msg = 98
MD = 72E8D7FFA8ED0BA014004AF9D3C2ACC5B245F1DABB2CA2603B09CA0FDF01D783230B3442179631A9DB175AE1346D6CE64E78A6DCB3B49870061ED17A74D0268C

Len = 8
Msg = CC
MD = 2BF640BC667F776356E39B281F75076E20C6D30CBA735AD10440D8DAC5DF137F709395E02F9A4FAE87D261D72239A6F20DEB0DC8BD169D761DF67FE59F3AFB73

Len = 9
Msg = 9800
MD = 701EE47765FF0801A0695146698B0CA8784197B201FE93A1CC7BBF02EF9E8449424F2A4DC6E1A075BFFD0F8D302AB5E5BB1C432D62D4E7B61B4A8CA8172C55A6

Len = 10
Msg = 9D40
MD = B1063909CD67C54844F5116601C0E8FDA9565BE17BA62FF602F21D072BAA896E2A2EE8BC04259A820AF6EE8591FFF53B04085A44BA12240844003E8E0A79B668

Len = 11
Msg = AA80
MD = A04B5EABF331920D23A36B427C82099DE865AD44040AEEE94B0855B051C6E5CBA3FB8E9C89B9D088C6A85EF273C2800810FE19A3744C3897A5FC4BB770D8728A

Len = 12
Msg = 9830
MD = 98AE31FAED3CC56DD25C23B049C8397C38F77AD36E1F217D294CC842297CBA593E4FFB09E96850A1B141CAC1A61ADB7738178F148BD99A8148BC63AC85AC79CA

Len = 13
Msg = 5030
MD = AB74485DB2C082BE6F0E86A7540C0F415EBA3E294C739CC7ECC3472802E582ACD60E9B4C6A58B89D611D45D0EF0698EA68B71535918CCE9F3D7A844A07F9B9DE

Len = 14
Msg = 4D24
MD = 2C49A90B095CF432BABE1E8CD5126D4BD70046BE78D097BE4593C1EE47EE547A7FDB2D567797F178C77BD7D75EE7E184CBA74E4A585F4D695AA04F1C9AF5A14F

Len = 15
Msg = CBDE
MD = 715C3C99193C5976FF72B7BFA29F8E51DA686874B330A42281C632CAC361D218B09DCF763F05D78DE650CFF6AEC089E5C518968A03CC593DF3CD2BCB5A4B3F28

Len = 16
Msg = 41FB
MD = CDD8097CB5CCECA3E9F6054ABA3E1D37BA16D190012BCE81F370A8A9DC005A1A79618D67ABC4F6632C3275E04CFF2F9DD65EDF781849019452961F06F9FFD805

Len = 17
Msg = 4FF400
MD = DCED8A872BDEC0D065BD305EE2D00263B44E4A1768701B4C0956EF543D71CF686FC7A1670ED25D2508C23028DDC8D3169EB756BFCFE0EF461793C8FE889B2A3D

Len = 18
Msg = FD0440
MD = 75E334354DEC3B61CC9F1FE6F7191833292BBCF0ABF4F5F27D6B71809D985769B29F5C870E37F4E01D3B8B9ED727A58CF3547B5C3F272BDD0956346998299CF5

Len = 19
Msg = 424D00
MD = 2E8F23423DF744A972069CBECF7F3CCC041B473376AC67E63BC8915F87C31884B884885EAA9AC99AFCA66A36F6209641184D1C6083E339E71F85D9345722BB9E

Len = 20
Msg = 3FDEE0
MD = 136663ABA7C4EE6DFBD78CBA4E025B62A352C62BDA28CAA3E62FB706E484401FEC3354F303F667128764D7F80655E62004F073CFA96EBD92FA480AC42D11B235

Len = 21
Msg = 335768
MD = 7DBC24970AF3FC0823B7AA0E45B5697D8FF74C534A0C450524E62F2FA1D45DFE1C1D952786C65D260BB44F4D9A4953BD8FAF758605119430111D4AF23FF3C309

Len = 22
Msg = 051E7C
MD = 843B94439CD609A227BAEC0BBBDD9B2B00E45E08E832FFFD3CE0D5800CAC22765A9B81FC4EAA6123FAFD207DE66C6608C99564BB295CA9735085745196094C94

Len = 23
Msg = 717F8C
MD = 9A4E8D7B8A3DDFA928D60DA4D32A15C0A29C7A841234689930ED617EDE4CF8A9FA3A6E22722406E7424FE9222881A294C8D475E49BAAD119BE60865BD20CC722

Len = 24
Msg = 1F877C
MD = 22E36758D4C1BBC94823754CE19FAC58032EF9C186D0F674620366704E6DA6E3FD235C1E6419F5BDDD0CCB05934F84BC0769E9A76EE08FC54F707193FD686C5F

Len = 25
Msg = EB35CF80
MD = CA80CDBEBD200576EC35E7EE5BB9A5C3895D23BEE0FA8177FDEB37AA24236C7308A96C82DFCF5B27FA5FCB255F21FB9645E2FA4C8DE4386961B052899AD7F305

Len = 26
Msg = B406C480
MD = 0290C9D3011472378C2AD22DEAF7C94040FDF3BED2A88DD0E85678E918D44FA4643D82B36DEE73E1459E228CA12AC1DBE88B83DFAA46180D39EAB6C9661B7A6E

Len = 27
Msg = CEE88040
MD = F20D0270E347818CABD6E2BE2A4A4DE1FC19CCDDB73AFE8B2E95D1952D1F1119D8CEAD6BDF352F671762DDBBB21C5350EF00E206B273EFBBCA1FA07FECC4C244

Len = 28
Msg = C584DB70
MD = 0DB09D3628CD6120AAA11CDBEB156DC8D3A2FF7A7910A090672C389D306DFDF852EBD92E2FAFBB4A931875DB73F68E16629FC561522E6345BDF75DF013EFDE2E

Len = 29
Msg = 53587BC8
MD = 9D6AA97A696F57A6031D0A819DC2E874A50F2C09481B5C373CC50E7CBE15137C65A54668C968515A483AB7F8F44E2770FDEBD28F9055348759FF7DC51E8194CD

Len = 30
Msg = 69A305B0
MD = 03BB90E68BE648F89C39318A92F4E57FF58430F28E4852B4FB4C38556DB8A53578E3E12A4C4B724B9E0E09877794BE0CBA901E116964650B2EE1FFC519FB3748

Len = 31
Msg = C9375ECE
MD = 9C196D9D7F222E838AE1E8010A1E7C77DF52E6E6F63E5D3B993C96E5C3827B00623E03435F0F7FF5060C2261F00CBC6711A7E0C8BD764811F52534222CE25662

Len = 32
Msg = C1ECFDFC
